Model,Accuracy,Precision,Recall,F1_Score,Train_n,Val_n,Test_n
Naive Bayes,0.854,0.861,0.845,0.853,9964,1245,1246
KNN,0.813,0.825,0.798,0.811,9964,1245,1246
Decision Tree,0.833,0.840,0.821,0.830,9964,1245,1246
Random Forest,0.875,0.882,0.867,0.874,9964,1245,1246
Gradient Boosting,0.906,0.912,0.897,0.904,9964,1245,1246
SVM,0.917,0.921,0.908,0.914,9964,1245,1246
XGBoost,0.938,0.940,0.931,0.935,9964,1245,1246
Logistic Regression,0.958,0.960,0.952,0.956,9964,1245,1246
Proposed FlipLearn,0.975,0.976,0.973,0.974,9964,1245,1246
